timestamp,name,tweet,retweetCnt,hastags,urlsCnt,mentionsCnt
Tue Oct 28 21:01:19 +0000 2014,MadelynSage,@nicolee_nemeth @scottsavannah8 don't have a problem,{},[],0,2
,,{},{},{},0,0
Tue Oct 28 21:01:23 +0000 2014,kenazsolange_,RT @BobayConner: New vine in 5 minutes 😝,13,[],0,1
Tue Oct 28 21:01:26 +0000 2014,BridgeteTaylor,"An exercise routine that includes cardio, aerobic exercise and resistance training is ideal for burning fat.",{},[],0,0
Tue Oct 28 21:01:26 +0000 2014,kenazsolange_,RT @BobayConner: ☮Tree☮ | 🌿🌲 http://t.co/erI6fsbddb,7,[],1,1
Tue Oct 28 21:01:32 +0000 2014,MalysiaY,@BobayConner I am on vine right now,{},[],0,1
Tue Oct 28 21:01:36 +0000 2014,Villalobos17C,Thank God people can't read my mind💭,{},[],0,0
Tue Oct 28 21:02:04 +0000 2014,niyasia_wbu,RT @BobayConner: Fav if you're going to go check out my new vine in 2 minutes :) 😝😝😝,10,[],0,1
Tue Oct 28 21:02:06 +0000 2014,BobayConner,1 minute :) go stalk!!!,{},[],0,0
Tue Oct 28 21:02:10 +0000 2014,bxsicxllyashley,RT @BobayConner: 1 minute :) go stalk!!!,1,[],0,1
Tue Oct 28 21:02:10 +0000 2014,justinsOLLG20,RT @BobayConner: 1 minute :) go stalk!!!,3,[],0,1
Tue Oct 28 21:02:12 +0000 2014,lilbreezey02,RT @aubbslewis: Sitting in bio lab like 😴😴😴😭😭😭🔫🔫🔫💣💣💣💣💣💣💣😵😵😵😵😵😵😵,1,[],0,1
Tue Oct 28 21:02:14 +0000 2014,_alyssarenee__,It's only Tuesday 😒,{},[],0,0
Tue Oct 28 21:02:15 +0000 2014,Emily_marisol_,RT @BobayConner: 1 minute :) go stalk!!!,5,[],0,1
Tue Oct 28 21:02:16 +0000 2014,kenazsolange_,RT @BobayConner: 1 minute :) go stalk!!!,6,[],0,1
Tue Oct 28 21:02:16 +0000 2014,NIJAJANAE,"RT @AHealthTipPage: Snack ideas: Pickles, Rice cakes, Peanut butter and apple slices, almonds/cashews or celery &amp; hummus.",2,[],0,1
Tue Oct 28 21:02:17 +0000 2014,dailwow,RT @BobayConner: 1 minute :) go stalk!!!,7,[],0,1
Tue Oct 28 21:02:22 +0000 2014,mbearor1,RT @BobayConner: 1 minute :) go stalk!!!,8,[],0,1
Tue Oct 28 21:02:26 +0000 2014,paulina_roque,RT @BobayConner: 1 minute :) go stalk!!!,10,[],0,1
,,{},{},{},0,0
Tue Oct 28 21:02:36 +0000 2014,13_jennyperez,RT @BobayConner: 1 minute :) go stalk!!!,11,[],0,1
Tue Oct 28 21:02:48 +0000 2014,TeenMindRocks,RT @DIY_Drink: Babies R Us! - http://t.co/IYtAlJIP8k http://t.co/RGQa26Fah1,85,[],1,1
Tue Oct 28 21:03:17 +0000 2014,BobayConner,New vine in 3.37272 seconds!!!! Go check it out :) 😝,{},[],0,0
Tue Oct 28 21:03:23 +0000 2014,bxsicxllyashley,RT @BobayConner: New vine in 3.37272 seconds!!!! Go check it out :) 😝,2,[],0,1
Tue Oct 28 21:03:24 +0000 2014,kenazsolange_,RT @BobayConner: New vine in 3.37272 seconds!!!! Go check it out :) 😝,3,[],0,1
Tue Oct 28 21:03:26 +0000 2014,Matts_Princess1,RT @BobayConner: New vine in 3.37272 seconds!!!! Go check it out :) 😝,4,[],0,1
Tue Oct 28 21:03:26 +0000 2014,Elyanamahone7,RT @BobayConner: New vine in 3.37272 seconds!!!! Go check it out :) 😝,5,[],0,1
Tue Oct 28 21:03:32 +0000 2014,mbearor1,RT @BobayConner: New vine in 3.37272 seconds!!!! Go check it out :) 😝,7,[],0,1
